accuracy,precision,recall,f1_score,cross_entropy,training_time
0.4401,0.4450221864836036,0.4401,0.42473529629184387,1.5877360349523169,119.17999696731567
epoch,avg_loss,accuracy
0,2.1281917227090705,0.3221
1,1.9573796872521996,0.3531
2,1.912487054004084,0.3656
3,1.8809586259475697,0.3741
4,1.8569136438270628,0.3868
5,1.8350973041787546,0.4
6,1.8238717475466601,0.402
7,1.808442831368252,0.4021
8,1.7960877002570015,0.404
9,1.7900466638341335,0.4102
10,1.7788120732905601,0.4173
11,1.7761852437687247,0.4195
12,1.7694301427465884,0.4276
13,1.7673515369138635,0.4295
14,1.763451789664853,0.4224
15,1.7580328601973882,0.4286
16,1.756915431886498,0.4304
17,1.7564787738010543,0.4319
18,1.7490616282765599,0.4279
19,1.743170455218204,0.4319
20,1.7420559043865953,0.4317
21,1.7433715774094267,0.4322
22,1.7398033461995976,0.435
23,1.740883980214529,0.4357
24,1.7377719380781498,0.4332
25,1.731804371316922,0.4287
26,1.7356532494868382,0.4353
27,1.7356167874879216,0.4299
28,1.7293072238899232,0.4305
29,1.7297331640292084,0.4376
30,1.7300582959792241,0.4279
31,1.7319803570435837,0.4358
32,1.7297844229175137,0.4398
33,1.7276402051646533,0.4353
34,1.7302986550469264,0.4326
35,1.7333357366756081,0.4362
36,1.7257949297571133,0.4385
37,1.7231916541896541,0.4395
38,1.7245455072322409,0.4329
39,1.7283185688025773,0.4403
40,1.722299048921505,0.4369
41,1.7223744390598041,0.4398
42,1.7254622488432154,0.4358
43,1.7215746699673153,0.441
44,1.7215528004283367,0.4355
45,1.7222729712548974,0.4414
46,1.7226435147423291,0.4436
47,1.7171449253495814,0.4401
48,1.7204235747591,0.4366
49,1.7219302634031504,0.4401
