accuracy,precision,recall,f1_score,cross_entropy,training_time
0.4517,0.4475715387317186,0.45170000000000005,0.4432977668691839,1.5802238188567486,356.43400597572327
epoch,avg_loss,accuracy
0,2.4514223779715594,0.2821
1,2.1642258471911235,0.3095
2,2.0856974359288376,0.3247
3,2.0397687778924785,0.3383
4,2.006737085915408,0.3498
5,1.9848787369056005,0.3563
6,1.9597615171612988,0.3625
7,1.9456370971902868,0.3696
8,1.9278610912044443,0.3752
9,1.915140381292963,0.376
10,1.9032235747276987,0.3819
11,1.8935834488730694,0.3858
12,1.8810253646628907,0.3888
13,1.8699178601768316,0.3897
14,1.8664378785879037,0.3939
15,1.8557086842575248,0.3945
16,1.8472508162277095,0.4013
17,1.8415206750817052,0.4021
18,1.8324572512274069,0.4022
19,1.8245378574363194,0.4055
20,1.8175415105685182,0.4063
21,1.8116202259443925,0.4084
22,1.8039144202789623,0.409
23,1.8013143547741568,0.4126
24,1.7968185773813108,0.4133
25,1.7893111604556793,0.4149
26,1.7854938128314506,0.4155
27,1.7795224670817715,0.4199
28,1.7765314462226003,0.4211
29,1.7689455886839094,0.4239
30,1.766096376683428,0.4271
31,1.762465806784827,0.4271
32,1.761653211906298,0.4277
33,1.7510637463835546,0.4313
34,1.7519346161322125,0.4308
35,1.749426819586221,0.432
36,1.741527492215034,0.4352
37,1.7409649754701024,0.4351
38,1.7348178350924726,0.4381
39,1.7326230745900213,0.4399
40,1.727566201282311,0.4428
41,1.7241320816762302,0.4427
42,1.7219489244367063,0.4437
43,1.7198630354140296,0.4414
44,1.7157602545729216,0.4461
45,1.7139700809491627,0.4482
46,1.706563196662988,0.4478
47,1.7069307343438351,0.4476
48,1.7053427646105905,0.4496
49,1.7049993092809015,0.4517
