accuracy,precision,recall,f1_score,cross_entropy,training_time
0.4967,0.4960231087603459,0.49670000000000003,0.4853712831448799,1.42925360185924,315.2254319190979
epoch,avg_loss,accuracy
0,2.0884094007386502,0.3565
1,1.9136649406678576,0.3827
2,1.863959475149015,0.4026
3,1.8219065430975543,0.4144
4,1.790928061850757,0.4198
5,1.7694082300711562,0.4326
6,1.7454941447104557,0.4345
7,1.7277172661376416,0.443
8,1.711204260705228,0.4502
9,1.6976803210988534,0.4529
10,1.6868355070711818,0.4565
11,1.675687977467906,0.4583
12,1.664258618438957,0.4598
13,1.654237607242687,0.4675
14,1.6461560846022203,0.4708
15,1.6459016433083407,0.4708
16,1.6397558336657792,0.4748
17,1.6318342751921964,0.4754
18,1.6278798084302262,0.4746
19,1.6231915961701728,0.4819
20,1.6190778227378522,0.4758
21,1.6229114469784458,0.4813
22,1.6110776811935583,0.4798
23,1.6134165710420236,0.4812
24,1.6024664904429116,0.4822
25,1.6063529892418456,0.4903
26,1.601527812349855,0.4844
27,1.5982445386031539,0.4875
28,1.595163515336611,0.4916
29,1.5941132788642502,0.4911
30,1.5948900234689336,0.4882
31,1.5864001512490544,0.4921
32,1.5836162148847193,0.4927
33,1.5877910396646762,0.49
34,1.5860499535278,0.4943
35,1.5819855497318676,0.4946
36,1.579530871947449,0.4939
37,1.5799216943001548,0.4919
38,1.5804243859383025,0.4953
39,1.5790234971225323,0.4969
40,1.5760851740961492,0.4896
41,1.5759240509822283,0.4926
42,1.5742347014407458,0.4951
43,1.5762203141549578,0.493
44,1.568079128213171,0.4927
45,1.5712811248998448,0.498
46,1.5732029830245982,0.4955
47,1.5686473338463889,0.4992
48,1.5679128873897472,0.496
49,1.5686302285100053,0.4967
