accuracy,precision,recall,f1_score,cross_entropy,training_time
0.5367,0.5411318729399552,0.5367000000000001,0.5307129096739278,1.2990819849754596,614.4006068706512
epoch,avg_loss,accuracy
0,2.002348447664209,0.3904
1,1.8223068986029074,0.4143
2,1.7617147212453859,0.4324
3,1.7250296283559585,0.4446
4,1.6842617823868518,0.4531
5,1.6625382683508905,0.4613
6,1.6398247016735852,0.476
7,1.6165438381584343,0.4749
8,1.5942850742766428,0.4879
9,1.5810376603709801,0.4892
10,1.5643858087446108,0.4917
11,1.5489287730165486,0.4973
12,1.530668289290852,0.502
13,1.518627112058426,0.5009
14,1.5108342576297495,0.5059
15,1.4997250031407117,0.5061
16,1.4888909706008324,0.5137
17,1.4850042701182709,0.5138
18,1.4725376616860426,0.5155
19,1.4700734462170446,0.5197
20,1.4649843436004457,0.5207
21,1.4564849472790957,0.5209
22,1.452236068511066,0.5252
23,1.4457240303106318,0.5261
24,1.4419477053917047,0.5208
25,1.4327117656838475,0.5248
26,1.4347918803894342,0.5277
27,1.4274890390584694,0.5316
28,1.4264218573704934,0.5268
29,1.4224945203891897,0.5304
30,1.4172628654293216,0.5306
31,1.4129977878643578,0.5298
32,1.4122945025536733,0.5349
33,1.4153106269527294,0.5355
34,1.405573643438756,0.5324
35,1.4057171379047426,0.5372
36,1.4076837400253042,0.5382
37,1.3984692981385005,0.5357
38,1.3971583545414608,0.5371
39,1.3947424196186529,0.5352
40,1.3945729337633728,0.5374
41,1.391279659355486,0.541
42,1.3895798315321854,0.5405
43,1.386867456725081,0.5363
44,1.387765399125015,0.5362
45,1.3898219524127287,0.542
46,1.3859218898256194,0.537
47,1.3831287254754687,0.541
48,1.3821846897552534,0.5386
49,1.383660430022899,0.5367
